,precision,recall,f1-score,support
0,0.9778090726752869,0.9486999006293475,0.9630345697173479,24152.0
1,0.9610561056105611,0.9832775919732442,0.9720398658422216,31096.0
accuracy,0.9681617434115262,0.9681617434115262,0.9681617434115262,0.9681617434115262
macro avg,0.9694325891429241,0.9659887463012958,0.9675372177797847,55248.0
weighted avg,0.9683797672914772,0.9681617434115262,0.9681031457436124,55248.0
