,precision,recall,f1-score,support
0,1.0,0.9486999006293475,0.9736747051949431,24152.0
1,0.9904306589638234,1.0,0.9951923263475261,128237.0
accuracy,0.9918694918924594,0.9918694918924594,0.9918694918924594,0.9918694918924594
macro avg,0.9952153294819117,0.9743499503146738,0.9844335157712346,152389.0
weighted avg,0.9919472954973377,0.9918694918924594,0.9917820172958413,152389.0
